date,rf
1978-03,0.005259511745220324
1978-04,0.004905974195988927
1978-05,0.005269353179766512
1978-06,0.0053085397935423995
1978-07,0.0052750825623704145
1978-08,0.006123949716072996
1978-09,0.006449023790771724
1978-10,0.006849624445614433
1978-11,0.007255714025790949
1978-12,0.006765809575654647
1979-01,0.007608383914067485
1979-02,0.007624064390635565
1979-03,0.007700487441479442
1979-04,0.007644687532091465
1979-05,0.00773476733557632
1979-06,0.007199743308622608
1979-07,0.007282855781558961
1979-08,0.008015381866064208
1979-09,0.008187070277054342
1979-10,0.009275991852406351
1979-11,0.008661710942184042
1979-12,0.0074722041649901705
1980-01,0.009279456483604509
1980-02,0.010694902040589316
1980-03,0.011752039953328852
1980-04,0.007390354865629112
1980-05,0.005796600963794862
1980-06,0.005026218754546452
